,prod_x_item_1,prod_x_item_2,prod_x_item_3,rem_x_item_1,rem_x_item_2,rem_x_item_3,prod_y_item_1,rem_y_item_1,rem_y_item_2,rem_y_item_3,remarks,parameter_range
0,1,,,1,,,,1,x,y,"zero behaviour of x at origin,no feedback,no feedback,",
1,1,,,1,,,,1,x,x*y,"zero behaviour of x at origin,no feedback,no feedback,",
2,1,,,1,,,,1,x,x^2,"zero behaviour of x at origin,no feedback,no feedback,",
3,1,,,1,,,,1,x,y^2,"zero behaviour of x at origin,no feedback,no feedback,",
4,1,,,1,,,,1,y,x*y,"zero behaviour of x at origin,no feedback,no feedback,",
5,1,,,1,,,,1,y,x^2,"zero behaviour of x at origin,no feedback,no feedback,",
6,1,,,1,,,,1,y,y^2,"zero behaviour of x at origin,not connected,not connected,",
7,1,,,1,,,,1,x*y,x^2,"zero behaviour of x at origin,no feedback,no feedback,",
8,1,,,1,,,,1,x*y,y^2,"zero behaviour of x at origin,no feedback,no feedback,",
9,1,,,1,,,,1,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,",
10,1,,,1,,,,x,y,x*y,"zero behaviour of x at origin,no feedback,no feedback,",
11,1,,,1,,,,x,y,x^2,"zero behaviour of x at origin,no feedback,no feedback,",
12,1,,,1,,,,x,y,y^2,"zero behaviour of x at origin,no feedback,no feedback,",
13,1,,,1,,,,x,x*y,x^2,"zero behaviour of x at origin,x=0 is a line of fixed points,no feedback,no feedback,",
14,1,,,1,,,,x,x*y,y^2,"zero behaviour of x at origin,no feedback,no feedback,",
15,1,,,1,,,,x,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,",
16,1,,,1,,,,y,x*y,x^2,"zero behaviour of x at origin,no feedback,no feedback,",
17,1,,,1,,,,y,x*y,y^2,"zero behaviour of x at origin,no feedback,no feedback,",
18,1,,,1,,,,y,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,",
19,1,,,1,,,,x*y,x^2,y^2,"zero behaviour of x at origin,no feedback,no feedback,",
20,1,,,x,,,,1,x,y,"no feedback,no feedback,",
21,1,,,x,,,,1,x,x*y,"no feedback,no feedback,",
22,1,,,x,,,,1,x,x^2,"no feedback,no feedback,",
23,1,,,x,,,,1,x,y^2,"no feedback,no feedback,",
24,1,,,x,,,,1,y,x*y,"no feedback,no feedback,",
25,1,,,x,,,,1,y,x^2,"no feedback,no feedback,",
26,1,,,x,,,,1,y,y^2,"not connected,not connected,",
27,1,,,x,,,,1,x*y,x^2,"no feedback,no feedback,",
28,1,,,x,,,,1,x*y,y^2,"no feedback,no feedback,",
29,1,,,x,,,,1,x^2,y^2,"no feedback,no feedback,",
30,1,,,x,,,,x,y,x*y,"no feedback,no feedback,",
31,1,,,x,,,,x,y,x^2,"no feedback,no feedback,",
32,1,,,x,,,,x,y,y^2,"no feedback,no feedback,",
33,1,,,x,,,,x,x*y,x^2,"x=0 is a line of fixed points,no feedback,no feedback,",
34,1,,,x,,,,x,x*y,y^2,"no feedback,no feedback,",
35,1,,,x,,,,x,x^2,y^2,"no feedback,no feedback,",
36,1,,,x,,,,y,x*y,x^2,"no feedback,no feedback,",
37,1,,,x,,,,y,x*y,y^2,"no feedback,no feedback,",
38,1,,,x,,,,y,x^2,y^2,"no feedback,no feedback,",
39,1,,,x,,,,x*y,x^2,y^2,"no feedback,no feedback,",
40,1,,,y,,,,1,x,y,"0 is not stable,",
41,1,,,y,,,,1,x,x*y,"0 is not stable,",
42,1,,,y,,,,1,x,x^2,"0 is not stable,",
43,1,,,y,,,,1,x,y^2,"0 is not stable,",
44,1,,,y,,,,1,y,x*y,"0 is not stable,",
45,1,,,y,,,,1,y,x^2,"0 is not stable,",
46,1,,,y,,,,1,y,y^2,"no feedback,no feedback,",
47,1,,,y,,,,1,x*y,x^2,"0 is not stable,",
48,1,,,y,,,,1,x*y,y^2,"0 is not stable,",
49,1,,,y,,,,1,x^2,y^2,"0 is not stable,",
50,1,,,y,,,,x,y,x*y,"0 is not stable,",
51,1,,,y,,,,x,y,x^2,"0 is not stable,",
